thing, hours
"capstone", 737
"Achieving fluency in Spanish (US Foreign Service Institute estimate)", 600
"3 months of a full time job", 480
"An internship/research/practicum (4 credits)", 242
"A major core and concentration course", 209
"Making a good or best friend", 200
"A cornerstone first-year course", 189
"A senior tutorial", 171
